"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\sek\Desktop\To-Do-List\project\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\sek\Desktop\To-Do-List\project\package-lock.json", "JSON", 17277, 0, 0, 0, 0, 0, 1, 17278
"c:\Users\sek\Desktop\To-Do-List\project\package.json", "JSON", 44, 0, 0, 0, 0, 0, 1, 45
"c:\Users\sek\Desktop\To-Do-List\project\public\index.html", "HTML", 0, 0, 0, 0, 32, 23, 2, 57
"c:\Users\sek\Desktop\To-Do-List\project\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\sek\Desktop\To-Do-List\project\src\components\App.js", "JavaScript", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\sek\Desktop\To-Do-List\project\src\components\CardGroup.js", "JavaScript", 0, 285, 0, 0, 0, 29, 39, 353
"c:\Users\sek\Desktop\To-Do-List\project\src\components\CreatePopup.js", "JavaScript", 0, 74, 0, 0, 0, 0, 5, 79
"c:\Users\sek\Desktop\To-Do-List\project\src\components\EditPopup.js", "JavaScript", 0, 117, 0, 0, 0, 5, 11, 133
"c:\Users\sek\Desktop\To-Do-List\project\src\components\NavSidebar.js", "JavaScript", 0, 111, 0, 0, 0, 5, 15, 131
"c:\Users\sek\Desktop\To-Do-List\project\src\components\Navbar.js", "JavaScript", 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\sek\Desktop\To-Do-List\project\src\components\ToDoCard.js", "JavaScript", 0, 97, 0, 0, 0, 1, 8, 106
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\apis\unsplash.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\ImageCard.js", "JavaScript", 0, 31, 0, 0, 0, 0, 11, 42
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\ImageList.css", "CSS", 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\ImageList.js", "JavaScript", 0, 14, 0, 0, 0, 1, 3, 18
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\ImageSearchModal.js", "JavaScript", 0, 81, 0, 0, 0, 5, 10, 96
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\PhotoSearch.js", "JavaScript", 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\SearchBar.js", "JavaScript", 0, 45, 0, 0, 0, 0, 7, 52
"c:\Users\sek\Desktop\To-Do-List\project\src\data\data.js", "JavaScript", 0, 32, 0, 0, 0, 1, 2, 35
"c:\Users\sek\Desktop\To-Do-List\project\src\firebase\firebaseConfig.js", "JavaScript", 0, 11, 0, 0, 0, 1, 4, 16
"c:\Users\sek\Desktop\To-Do-List\project\src\firebase\index.js", "JavaScript", 0, 120, 0, 0, 0, 2, 18, 140
"c:\Users\sek\Desktop\To-Do-List\project\src\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\sek\Desktop\To-Do-List\project\src\styles\styles.css", "CSS", 0, 0, 89, 0, 0, 0, 18, 107
"Total", "-", 17346, 1095, 98, 38, 32, 73, 207, 18889
