"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\sek\Desktop\To-Do-List\project\src\components\App.js", "JavaScript", 0, 16, 0, 4, 20
"c:\Users\sek\Desktop\To-Do-List\project\src\components\CardGroup.js", "JavaScript", 0, 285, 29, 39, 353
"c:\Users\sek\Desktop\To-Do-List\project\src\components\CreatePopup.js", "JavaScript", 0, 74, 0, 5, 79
"c:\Users\sek\Desktop\To-Do-List\project\src\components\EditPopup.js", "JavaScript", 0, 117, 5, 11, 133
"c:\Users\sek\Desktop\To-Do-List\project\src\components\NavSidebar.js", "JavaScript", 0, 111, 5, 15, 131
"c:\Users\sek\Desktop\To-Do-List\project\src\components\Navbar.js", "JavaScript", 0, 24, 0, 4, 28
"c:\Users\sek\Desktop\To-Do-List\project\src\components\ToDoCard.js", "JavaScript", 0, 97, 1, 8, 106
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\apis\unsplash.js", "JavaScript", 0, 7, 0, 1, 8
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\ImageCard.js", "JavaScript", 0, 31, 0, 11, 42
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\ImageList.css", "CSS", 9, 0, 0, 1, 10
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\ImageList.js", "JavaScript", 0, 14, 1, 3, 18
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\ImageSearchModal.js", "JavaScript", 0, 81, 5, 10, 96
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\PhotoSearch.js", "JavaScript", 0, 25, 0, 6, 31
"c:\Users\sek\Desktop\To-Do-List\project\src\components\backgroundImage\components\SearchBar.js", "JavaScript", 0, 45, 0, 7, 52
"c:\Users\sek\Desktop\To-Do-List\project\src\data\data.js", "JavaScript", 0, 32, 1, 2, 35
"c:\Users\sek\Desktop\To-Do-List\project\src\firebase\firebaseConfig.js", "JavaScript", 0, 11, 1, 4, 16
"c:\Users\sek\Desktop\To-Do-List\project\src\firebase\index.js", "JavaScript", 0, 120, 2, 18, 140
"c:\Users\sek\Desktop\To-Do-List\project\src\index.js", "JavaScript", 0, 5, 0, 2, 7
"c:\Users\sek\Desktop\To-Do-List\project\src\styles\styles.css", "CSS", 89, 0, 0, 18, 107
"Total", "-", 98, 1095, 50, 169, 1412
